"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
1995,6.31,55,2,7.153330432,9.727520436,8,8,8.220212717,1.79046729911765,4.283646965,3.79361918981818,5.067320889,4.107142857,4.40935534152941,8.26589759835294,3.52758862483333,4.07787232666667,0.888888889,4.236812631,4.761463901,5.784,5.354,10,6.474865975,7.655555556,4.92609038005882,7.6,5,6.751851852,8,4.01958551376471,4.78501453158824,5.8702725,"South America"
2002,7.19,41,2,7.359505542,5.8,7,10,7.539876386,6.333333333,4.833333333,4.5,8.333333333,5,3.883944765,6.418800541,5.19762443608333,5.34981235441667,1,5.614677901,9.93161409,7.526725798,7.205505482,10,8.665961342,7.436444444,6.916666667,10,7.312833333,7.916486111,5.714161025,7.054351093,5.876652721,6.215054946,"South America"
1985,3.52,102,4,8.081182242,9.645776567,2,8,6.931739702,2.25768747958824,2.73312579777778,0,5.05169756511111,1.4,4.02262274335294,6.66803510458824,2.69599106066667,4.84850718675,0.888888889,1.573702463,0,0,0,0,0,5.686666667,5.11895898164706,8.2,2,5.295555556,2.487487487,4.07078569447059,3.86271534964706,3.811055219,"South America"
1975,3.13,72,4,6.529411765,7.983651226,4,4,5.628265748,2.35821096411111,2.55997730788889,0.6,7.26187431372222,4.73385170071429,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,1.495104209,0,0,0,10,2.5,0.7,5.51217093761111,0,2,0.9,6.554054054,3.729966667,5.10110328216667,5.14201036,"South America"
2005,6.34,91,3,2.685294118,7.596730245,10,5.5,6.445506091,4.420289855,4.637681159,6.15942029,3.333333333,1.666666667,1.803958128,8.743539444,5.724637681,3.333333333,1,4.42476221,7.693174794,9.565549403,8.990319032,5,7.812260807,7.717777778,4.979657616,8.071242398,5.160274991,6.482238196,8.240126187,5.365039203,6.026313393,6.543826261,"South America"
2000,5.86,90,3,7.86246723,9.858310627,10,8,8.930194464,2.672,2.505,2.98393,3.333333333,5,4.380510817,7.053140248,3.52758862483333,4.07787232666667,0.888888889,3.768051943,4.254336723,5.357186993,0,10,4.902880929,7.144444444,5.150313333,10,7.690720577,7.496369589,4.630844116,2.975039167,5.044297349,4.216726877,"South America"
2009,6.56,89,3,7.88201491,9.252127578,4,8.5,7.408535622,1.165947287,2.568657181,3.222188087,2.5,3.333333333,4.187770031,8.506083724,2.136063105,4.003365939,1,3.513712076,7.064178468,8.255037726,9.481610653,10,8.700206712,7.910222222,5.510524602,10,5.46893506,7.222420471,8.070953497,4.340575645,5.42315366,5.944894268,"South America"
1980,4.08,83,4,6.74874601,9.70027248,0,3,4.862254622,2.25768747958824,2.73312579777778,1.6,5.05169756511111,1.7,4.02262274335294,6.66803510458824,2.69599106066667,4.84850718675,0.888888889,2.193493717,7.185490514,3.812,0.54,10,5.384372628,4.8,5.11895898164706,5.6,2,4.133333333,2.487487487,4.07078569447059,3.86271534964706,3.811055219,"South America"
1970,5.67,33,3,7.928460123,6.86092652663636,4,5.15909090909091,5.964230062,2.35821096411111,2.55997730788889,3.6,7.26187431372222,4.73385170071429,4.83173028717647,6.759935639,2.96151378141667,4.13942663741667,0.888888889,3.546694123,6.412953636,6.216,8.84,10,7.867238409,5.78269353754545,5.51217093761111,10,2,5.42586107886364,6.979479479,3.6313,5.10110328216667,5.30538974,"South America"
2010,6.35,109,3,6.420588235,8.836512262,0,10,6.314275124,3.366326619,3.199750966,2.802272165,5,4.166666667,3.993334023,6.683456212,2.84684285,4.772267152,0.888888889,3.864972735,7.580703035,7.715246875,9.499646595,10,8.698899126,7.924111095,5.757950974,10,4.318131793,7.000048466,9,4.544586693,4.007553444,5.850713379,"South America"
2002,7.42,30,1,7.891309747,8.828337875,8,5.5,7.554911905,1.5,2.333333333,2.666666667,8.333333333,5,4.157960813,8.324449203,3.109749481,3.80458432241667,1,4.616534764,9.799232699,9.107448232,9.961525302,10,9.717051558,7.991111111,7.166666667,10,7.647435897,8.201303419,9.36269356,6.496545919,5.169262104,7.009500528,"South America"
2006,6.41,92,3,8.261764706,9.25613079,4,8.5,7.504473874,0.91398235,1.652585527,3.427967962,2.5,3.333333333,4.187770031,7.980145745,2.941397672,3.507971014,1,3.382794848,6.476609567,8.046689518,8.081073328,10,8.151093103,7.855911111,5.242795871,10,6.237296813,7.334000949,8.666666667,3.406829421,4.988362173,5.687286087,"South America"
1985,5.06,62,3,7.815593625,8.9373297,2,5,5.938230831,3.79131827677778,3.99328925272222,4.8,3.35437578255556,1.4,1.96085720605882,8.90223334452941,5.07924306325,3.04744748491667,1,3.396095274,7.403367727,9.328,5.02,5,6.687841932,4.14,5.75169659255556,8.2,0,4.113333333,8,5.4467099305,6.24874575038889,5.157306667,"South America"
2014,6.87,84,3,7.252941176,9.109581996,8,8.5,8.215630793,1.586664931,2.529858285,4.366916123,2.5,3.333,4.188,8.506083724,2.08969555,4.444125091,1,3.727149301,9.120595257,8.967081766,8.994234465,10,9.270477872,7.944444444,4.798177057,10,5.241719516,6.996085254,8.548666667,4.11077585,5.806433871,6.155292129,"South America"
2008,5.88,120,4,6.341176471,6.933790723,6,5,6.068741798,2.348909258,2.2073425,3.194203416,7.5,4.166666667,5.015583364,6.716260989,2.972019113,4.457528226,1,4.286501504,7.38875632,8.326315871,6.868,5,6.895768048,6.548,5.935874229,10,4.55293883,6.759203265,6.362624464,5.184168455,4.681221637,5.409338185,"South America"
2003,6.08,92,3,4.128711237,8.117983651,8,5.5,6.436673722,5.166666667,4.666666667,4.5,6.666666667,3.333333333,4.668907737,8.092731002,4.4285543405,3.45765993741667,1,5.299281725,7.936995573,8.576719839,7.057108298,5,7.142705928,7.117777778,5.5,9.163763066,5.641025641,6.855641621,5.760444025,4.255918826,3.968276693,4.661546515,"South America"
1990,6.6,31,2,6.832583642,6.866485014,7,10,7.674767164,7.0748733176875,5.11175096733333,5.9,6.96831234222222,8.3,3.84060653264706,6.42653492288235,5.19762443608333,5.34981235441667,1,6.275098081,0,5.028,0,10,3.757,5.935555556,6.41133748894118,10,10,8.645185185,7.666666667,6.23815071817647,6.25590529823529,6.6251775,"South America"
1985,2.96,107,4,7.927279236,7.411444142,4,1,5.084680844,4.52471324544444,4.07689372355556,6.1,6.5991729465,6.6,4.39592355541176,8.31345887005882,4.4285543405,3.45765993741667,0.555555556,4.448292577,0,0,0,0,0,2.622222222,5.93647284877778,0.2,0,0.940740741,3.431765098,4.38589586726316,3.93225621566667,4.332399691,"South America"
2001,5.76,98,4,8.116169058,9.858310627,10,8,8.993619921,0.972222288,1.25,1.940639416,3.333333333,5,4.380510817,7.053140248,3.52758862483333,4.07787232666667,0.888888889,3.22863003,4.07978054,2.559593807,2.464395812,10,4.77594254,7.144444444,5.2624379,10,7.690720577,7.52440073,5.717590283,3.057873689,4.086609091,4.287357688,"South America"
2000,6.45,75,3,5.544117647,0,0,6,3.848039216,3.57444071753846,5.788050863,3.7448162718125,10,6.666666667,4.554788309,7.48437358630769,2.97254118416667,3.47546058258333,0.923076923,6.492669673,9.251115757,8.468046612,8.770291334,5,7.872363426,6.6,5.81579366269231,9,6.923076923,7.507692308,8.209136559,7.6204143314,6.03629394676923,6.554103477,"South America"
1995,6.84,39,2,7.281153602,9.455040872,0,9.5,6.559048618,2.25768747958824,4.932525486,2.5730172436,5.930556172,6.964285714,4.02262274335294,6.66803510458824,2.69599106066667,4.84850718675,0.888888889,5.612319358,6.28138457,8.42,7.714,10,8.103846142,8.74,5.11895898164706,9.8,5,7.846666667,8.549883217,4.07078569447059,3.86271534964706,6.077827295,"South America"
1995,6.62,96.2857142857143,3,1.61554621842857,8.66690410842857,9.28571428571429,5,6.19915605657143,4.67240397785714,4.07035426542857,4.78152959557143,5.21428571428571,5,2.74579217628571,3.15655439842857,6.911833296,6.18128577114286,0.974358974,4.67042864371429,9.63472013457143,7.18441350628571,7.37510960557143,10,8.54856081157143,7.48727619057143,6.566549449,10,3.56644548585714,6.90506778142857,7.724098861,7.66574244085714,4.91342203,6.76775444385714,"South America"
2012,7.81,11,1,7,8.011754583,10,7,8.002938646,7.147940583,5.876740469,6.8413365,7.5,7.5,5.109379145,9.066918247,8.611798813,6.191453167,0.896551724,6.727023335,8.330399236,7.755155893,9.398,10,8.870888782,9.466222222,7.245905776,10,5.395825766,8.026988441,9.333333333,5.29690595,7.66487206,7.431703781,"South America"
1975,3.5,67,4,7.558823529,9.61852861,4,4,6.294338035,2.44305495394444,2.9890231445,0,7.67979437383333,4.7633786847619,4.75289865411765,8.55527404352941,3.109749481,3.80458432241667,0.666666667,0.955583334,6.474076036,7.652,5.362,0,4.872019009,3.666666667,6.56584810316667,0,2,1.888888889,4.034034034,6.701381444,5.88756345405556,6.69646059919048,"South America"
1970,4.81,41,4,8.432819389,8.272927242,4,5.27272727272727,6.216409694,3.79131827677778,3.99328925272222,2.3,3.35437578255556,2.44761904757143,1.96085720605882,8.90223334452941,5.07924306325,3.04744748491667,0.888888889,2.659762238,7.985569258,8.98,8.02,0,6.246392314,4.6,5.75169659255556,7.8,0,4.133333333,8.53421449204545,5.4467099305,6.24874575038889,6.56385947971429,"South America"
